Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
dadA1		1.0	Output		PA5304	878057	Q9HTQ0	dadA	D-amino acid dehydrogenase small subunit	M49	Q9HTQ0	['GO:0008718']	False	False	False	False
dadX		1.0	Output		PA5302	878055	Q9HTQ2		alanine racemase	M49	Q9HTQ2	['GO:0008784', 'GO:0030170']	False	False	False	False
PA2100	1.0		Input		PA2100					M4		[]	False	False	False	False
PA5159		1.0	Output		PA5159					M4		[]	False	False	False	False
PA5160		1.0	Output		PA5160					M4		[]	False	False	False	False
mexB		0.9752065187014125	Output		PA0426	877852	P52002		resistance-nodulation-cell division (RND) multidrug efflux transporter MexB	M4	P52002	['GO:0015562', 'GO:0042910']	False	False	False	False
oprM		0.9752065187014125	Output		PA0427	877851	Q51487	oprK	multidrug ABC transporter	M4	Q51487	['GO:0015562', 'GO:0022857']	False	False	False	False
mexA		0.7815941265961589	Output		PA0425	877855	P52477		resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexA	M4	P52477	['GO:0015562', 'GO:0042802']	False	False	False	False
amgR	1.0		Input		PA5200	880301	Q9HTY9		osmolarity response regulator	M4	Q9HTY9	['GO:0000156', 'GO:0000976']	False	False	False	True
cyaB	0.9012738754287494		Input		PA3217	882555	Q9HZ23		protein CyaB	Basal machinery	Q9HZ23	['GO:0004016']	False	False	False	False
exsA	0.8278034189034529	0.7548583487143615	Middle	0.5816255144477953	PA1713	879712	P26993		transcriptional regulator ExsA	Global regulator	P26993	['GO:0001216', 'GO:0043565', 'GO:0000976']	True	False	False	False
aguR	1.0		Input		PA0294	880857	Q9I6J7		transcriptional regulator AguR	M44	Q9I6J7	['GO:0003700', 'GO:0000976']	True	False	False	False
aguB		1.0	Output		PA0293	880699	Q9I6J8		N-carbamoylputrescine amidohydrolase	M44	Q9I6J8	['GO:0050126']	False	False	False	False
aguA		1.0	Output		PA0292	879730	Q9I6J9		agmatine deiminase	M44	Q9I6J9	['GO:0047632', 'GO:0004668']	False	False	False	False
bexR	1.0	1.0	Middle	1.0	PA2432	882852	Q9I150		bistable expression regulator, BexR	M43	Q9I150	['GO:0003700', 'GO:0043565']	True	False	False	False
aprA		0.9780701675317887	Output		PA1249	881248	Q03023		alkaline metalloproteinase	M43	Q03023	['GO:0005509', 'GO:0004222', 'GO:0008233', 'GO:0008270']	False	False	False	False
PA1202		1.0	Output		PA1202					M43		[]	False	False	False	False
PA1203		1.0	Output		PA1203					M43		[]	False	False	False	False
PA1204		1.0	Output		PA1204					M43		[]	False	False	False	False
PA1205		1.0	Output		PA1205					M43		[]	False	False	False	False
PA0572		1.0	Output		PA0572					M43		[]	False	False	False	False
cdhR	0.3678794411714786	0.3678794411714786	Middle	-0.3678794411714786	PA5389	PseudoCap:PA5389	Q9HTH5		CdhR family transcriptional regulator	M50	Q9HTH5	['GO:0003700', 'GO:0043565']	True	False	False	False
PA5384		0.3678794411714786	Output		PA5384					M50		[]	False	False	False	False
cdhC		0.3678794411714786	Output		PA5387	PseudoCap:PA5387	Q9HTH7		carnitine dehydrogenase	M50	Q9HTH7	['GO:0043720', 'GO:0046872']	False	False	False	False
cdhB		0.3678794411714786	Output		PA5385	PseudoCap:PA5385	Q9HTH9		carnitine dehydrogenase	M50	Q9HTH9	['GO:0047617']	False	False	False	False
PA5388		0.965964283498512	Output		PA5388					M50		[]	False	False	False	False
lcdH		0.3678794411714786	Output		PA5386	PseudoCap:PA5386	Q9HTH8	cdhA	3-hydroxybutyryl-CoA dehydrogenase	M50	Q9HTH8	['GO:0047728', 'GO:0070403', 'GO:0016491']	False	False	False	False
rpoS	0.9192996245218712	0.955080838627516	Middle		PA3622	880421	P45684		RNA polymerase sigma factor RpoS	Global regulator	P45684	['GO:0003677', 'GO:0016987']	True	False	False	False
exsE	0.9621661431315749	0.7874120529841131	Middle	-0.9687038661860073	PA1711	880941	Q9I322		ExsE protein	M21	Q9I322	['GO:0051087']	False	False	False	False
coIII		0.9666838721802417	Output		PA0108	882001	Q9I724		cytochrome C oxidase subunit III	Basal machinery	Q9I724	['GO:0004129']	False	False	False	False
exsC	0.9293928125151127	0.6333007194279328	Middle	0.7508083240749217	PA1710	878452	P26995		exoenzyme S synthesis protein C	M21	P26995	[]	False	False	False	False
cioA		0.9686436444049332	Output		PA3930	879045	G3XCW8		cyanide insensitive terminal oxidase	Basal machinery	G3XCW8	['GO:0009055', 'GO:0020037', 'GO:0046872', 'GO:0016682']	False	False	False	False
cioB		0.9686436444049332	Output		PA3929	879044	G3XD05		cyanide insensitive terminal oxidase	Basal machinery	G3XD05	['GO:0009055', 'GO:0016682']	False	False	False	False
PA0107		0.9666838721802417	Output		PA0107					Basal machinery		[]	False	False	False	False
coxB		0.9686436444049332	Output		PA0105	881940	Q9I727		cytochrome C oxidase subunit II	Basal machinery	Q9I727	['GO:0005507', 'GO:0004129', 'GO:0020037']	False	False	False	False
exsB		0.788408048086846	Output		PA1712	878557	P26994		exoenzyme S synthesis protein B	M12	P26994	[]	False	False	False	False
coxA		0.9686436444049332	Output		PA0106	881877	Q9I726		cytochrome C oxidase subunit I	Basal machinery	Q9I726	['GO:0004129', 'GO:0020037', 'GO:0046872']	False	False	False	False
azu		0.9666838721802417	Output		PA4922	878046	P00282		azurin	Basal machinery	P00282	['GO:0005507', 'GO:0009055', 'GO:0042802', 'GO:0046914', 'GO:0008270']	False	False	False	False
clpX	0.8791809787996321		Input		PA1802	878307	Q9I2U0		ATP-dependent protease ATP-binding subunit ClpX	Basal machinery	Q9I2U0	['GO:0005524', 'GO:0016887', 'GO:0140662', 'GO:0046983', 'GO:0051082', 'GO:0008270']	False	False	False	False
algU	0.8569673003594032	0.9399921897052584	Middle	0.700827590100332	PA0762	882125	Q06198	algT	RNA polymerase sigma factor AlgU	Global regulator	Q06198	['GO:0001216', 'GO:0016987', 'GO:0000976']	True	False	False	False
cysB	0.36787944117147847	0.3678794411714786	Middle	-0.3678794411714786	PA1754	883007	G3XCU6		transcriptional regulator CysB	Global regulator	G3XCU6	['GO:0003700', 'GO:0000976']	True	False	False	False
algJ		0.8936189874863367	Output		PA3549	878716	Q51393		alginate o-acetyltransferase AlgJ	Basal machinery	Q51393	['GO:0016746']	False	False	False	False
algX		0.8936189874863367	Output		PA3546	878551	Q51372		alginate biosynthesis protein AlgX	Basal machinery	Q51372	['GO:0016746']	False	False	False	False
msuD		0.3678794411714786	Output		PA2356	879651	Q9I1C2		methanesulfonate sulfonatase MsuD	Basal machinery	Q9I1C2	['GO:0008726']	False	False	False	False
algG		0.8936189874863367	Output		PA3545	879839	Q51371		alginate-c5-mannuronan-epimerase AlgG	Basal machinery	Q51371	['GO:0016853']	False	False	False	False
cysH		0.3678794411714786	Output		PA1756	878560	O05927		phosphoadenosine phosphosulfate reductase	Basal machinery	O05927	['GO:0051539', 'GO:0043866', 'GO:0046872', 'GO:0004604']	False	False	False	False
msuC		0.3678794411714786	Output		PA2355	879208	Q9I1C3		FMNH2-dependent monooxygenase	Basal machinery	Q9I1C3	['GO:0008470', 'GO:0050660', 'GO:0004497']	False	False	False	False
alg8		0.8936189874863367	Output		PA3541	879005	Q52463		alginate biosynthesis protein Alg8	Basal machinery	Q52463	['GO:0047643', 'GO:0050501']	False	False	False	False
retS		0.3678794411714786	Output		PA4856	877881	Q9HUV7		RetS protein	Basal machinery	Q9HUV7	['GO:0005524', 'GO:0000155']	False	False	False	False
algK		0.8936189874863367	Output		PA3543	878771	P96956		alginate biosynthetic protein AlgK	Basal machinery	P96956	[]	False	False	False	False
algI		0.8936189874863367	Output		PA3548	877959	Q51392		alginate o-acetyltransferase AlgI	Basal machinery	Q51392	['GO:0016746']	False	False	False	False
pvdS		0.9097074697502866	Output		PA2426	882839	G3XCV1		extracytoplasmic-function sigma-70 factor	M32.1	G3XCV1	['GO:0001216', 'GO:0016987', 'GO:0000976']	True	False	False	False
algL		0.8936189874863367	Output		PA3547	878552	Q06749		poly(beta-D-mannuronate) lyase	Basal machinery	Q06749	['GO:0045135', 'GO:0004794']	False	False	False	False
alg44		0.8936189874863367	Output		PA3542	878770	Q9HY69		alginate biosynthesis protein Alg44	Basal machinery	Q9HY69	['GO:0047643', 'GO:0015125', 'GO:0035438', 'GO:0004467']	False	False	False	False
algA		0.8936189874863367	Output		PA3551	879142	P07874	pmi	phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase	Basal machinery	P07874	['GO:0005525', 'GO:0004475', 'GO:0004476']	False	False	False	False
algF		0.8936189874863367	Output		PA3550	878717	Q06062		alginate o-acetyltransferase AlgF	Basal machinery	Q06062	[]	False	False	False	False
msuE		0.3678794411714786	Output		PA2357	882283	O31038	slfA	NADH-dependent FMN reductase MsuE	Basal machinery	O31038	['GO:0052873', 'GO:0016655']	False	False	False	False
algD		0.8860335382059141	Output		PA3540	879004	P11759		GDP-mannose 6-dehydrogenase AlgD	M5	P11759	['GO:0047919', 'GO:0051287']	False	False	False	False
algE		0.8936189874863367	Output		PA3544	879838	P18895	alg76	Alginate production outer membrane protein AlgE	Basal machinery	P18895	[]	False	False	False	False
rpoN	0.9568126088047282		Input		PA4462	881022	P49988		RNA polymerase factor sigma-54	Global regulator	P49988	['GO:0001216', 'GO:0016779', 'GO:0016987', 'GO:0000976']	True	False	False	False
PA1196	1.0	1.0	Middle		PA1196					M40		[]	False	False	False	False
lasR	0.9400949241149841	0.9737283664180644	Middle	-0.9892264281582444	PA1430	881789	P25084		transcriptional regulator LasR	Global regulator	P25084	['GO:0001216', 'GO:0003700', 'GO:0043565', 'GO:0000976']	True	False	False	False
nirD		1.0	Output		PA1780	878289	Q9I2W2		assimilatory nitrite reductase small subunit	Basal machinery	Q9I2W2	['GO:0051537', 'GO:0046872', 'GO:0008942']	False	False	False	False
PA1785		1.0	Output		PA1785					Basal machinery		[]	False	False	False	False
nirB		1.0	Output		PA1781	877714	Q9I2W1		assimilatory nitrite reductase large subunit	Basal machinery	Q9I2W1	['GO:0051537', 'GO:0051539', 'GO:0050660', 'GO:0020037', 'GO:0046872', 'GO:0050661', 'GO:0098809']	False	False	False	False
glnK		1.0	Output		PA5288	878342	Q9HTR6		nitrogen regulatory protein P-II 2	Basal machinery	Q9HTR6	['GO:0005524', 'GO:0030234']	False	False	False	False
rsaL		0.9772869957003947	Output		PA1431	881782	G3XD78		regulatory protein RsaL	Global regulator	G3XD78	['GO:0003677', 'GO:0001217', 'GO:0000976']	True	False	False	False
amtB		1.0	Output		PA5287	879509	Q9HTR7		ammonium transporter	Basal machinery	Q9HTR7	['GO:0008519']	False	False	False	False
PA2449	1.0	1.0	Middle		PA2449					M31		[]	False	False	False	False
nosY		1.0	Output		PA3395	879978	Q9HYK9		NosY protein	Basal machinery	Q9HYK9	['GO:0140359']	False	False	False	False
pqsH		0.9772869879687894	Output		PA2587	879540	Q9I0Q0		FAD-dependent monooxygenase	Basal machinery	Q9I0Q0	['GO:0102164', 'GO:0071949', 'GO:0004497']	False	False	False	False
nosR		0.8324297681570669	Output		PA3391	879823	Q9HYL3		regulatory protein NosR	Basal machinery	Q9HYL3	['GO:0003677', 'GO:0010181']	False	False	False	False
nosZ		1.0	Output		PA3392	879824	Q9HYL2		nitrous-oxide reductase	Basal machinery	Q9HYL2	['GO:0005509', 'GO:0005507', 'GO:0004129', 'GO:0050304']	False	False	False	False
mifR	1.0	1.0	Middle		PA5511	878064	Q9HT62		MifR protein	M24	Q9HT62	['GO:0005524', 'GO:0000987', 'GO:0001216']	True	False	False	False
nasA		1.0	Output		PA1783	877748	Q9I2V9		nitrate transporter	Basal machinery	Q9I2V9	['GO:0015112', 'GO:0015113']	False	False	False	False
nosD		1.0	Output		PA3393	880013	Q9HYL1		NosD protein	Basal machinery	Q9HYL1	[]	False	False	False	False
nosF		1.0	Output		PA3394	879977	Q9HYL0		NosF protein	Basal machinery	Q9HYL0	['GO:0005524', 'GO:0016887']	False	False	False	False
algB	1.0	0.9430230420654706	Middle		PA5483	877696	P23747		two-component response regulator AlgB	M5	P23747	['GO:0005524', 'GO:0016887', 'GO:0000987', 'GO:0001216']	True	False	False	False
lasI		0.9672326131647491	Output		PA1432	881777	P33883		autoinducer synthesis protein LasI	M1	P33883	['GO:0061579']	False	False	False	False
nosL		1.0	Output		PA3396	879912	Q9HYK8		NosL protein	Basal machinery	Q9HYK8	[]	False	False	False	False
hcpA		1.0	Output		PA5267		Q9HI36	PA0263,PA5267,hcpC,PA1512		Basal machinery	Q9HI36	[]	False	False	False	False
PA1786		1.0	Output		PA1786					Basal machinery		[]	False	False	False	False
PA2005		1.0	Output		PA2005					Basal machinery		[]	False	False	False	False
gltR	1.0	1.0	Middle		PA3192	882907	G3XCY6		two-component response regulator GltR	M18	G3XCY6	['GO:0000156', 'GO:0000976']	False	False	False	True
oprB		1.0	Output		PA3186	882788	Q51485		glucose/carbohydrate outer membrane porin OprB	M18	Q51485	['GO:0015288']	False	False	False	False
glk		1.0	Output		PA3193	882908	Q9HZ46		glucokinase	M18	Q9HZ46	['GO:0005524', 'GO:0005536', 'GO:0004340']	False	False	False	False
edd		1.0	Output		PA3194	882909	P31961		phosphogluconate dehydratase	M18	P31961	['GO:0051539', 'GO:0046872', 'GO:0004456']	False	False	False	False
eta		0.9397797770926114	Output		PA1148	877850	P11439	toxA,sodM	exotoxin A	M18	P11439	['GO:0047286', 'GO:0016779', 'GO:0090729']	False	False	False	False
bfiS	0.9706376475845206		Input		PA4197	880350	Q9HWI4		protein BfiS	M34	Q9HWI4	['GO:0000155']	False	False	False	False
gacA	0.9524174767418022	1.0	Middle		PA2586	880582	Q51373		response regulator GacA	Global regulator	Q51373	['GO:0003677']	False	False	False	False
gacS	0.960528765733303	1.0	Middle		PA0928	880882	G3XD98		sensor/response regulator hybrid	M34	G3XD98	['GO:0005524', 'GO:0046872', 'GO:0000155']	False	False	False	False
cafA		1.0	Output		PA4477	881046	Q9HVU4		cytoplasmic axial filament protein	M34	Q9HVU4	['GO:0004519', 'GO:0016787', 'GO:0046872', 'GO:0004540', 'GO:0019843', 'GO:0000049']	False	False	False	False
PA1195		1.0	Output		PA1195					M40		[]	False	False	False	False
PA2047	1.0		Input		PA2047					M13		[]	False	False	False	False
mexF		0.9664921501288499	Output		PA2494	882884	Q9I0Y8		resistance-nodulation-cell division (RND) multidrug efflux transporter MexF	M13	Q9I0Y8	['GO:0015562', 'GO:0042910']	False	False	False	False
mexE		0.9664921501288499	Output		PA2493	880212	Q9I0Y9		resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexE	M13	Q9I0Y9	['GO:0022857']	False	False	False	False
oprN		0.9664921501288499	Output		PA2495	882885	Q9I0Y7		Multidrug efflux outer membrane protein OprN	M13	Q9I0Y7	['GO:0015562', 'GO:0022857']	False	False	False	False
gbuR	0.9663086000672448	0.9470134957404087	Middle	-0.9892264281582444	PA1422	881769	Q9I3S2		protein GbuR	M7	Q9I3S2	['GO:0003700', 'GO:0000976']	True	False	False	False
glpR	0.9603152058827975	0.9576061512032068	Middle	-0.9892264281582444	PA3583	880163	Q51391		glycerol-3-phosphate regulon repressor	M7	Q51391	['GO:0000987', 'GO:0098531']	True	False	False	False
acoR	1.0		Input		PA4147	880118	Q9HWN4		transcriptional regulator AcoR	M28	Q9HWN4	['GO:0005524', 'GO:0000987', 'GO:0001216']	True	False	False	False
acoB		1.0	Output		PA4151	880055	Q9HWN0		acetoin catabolism protein AcoB	M28	Q9HWN0	['GO:0016491']	False	False	False	False
PA4148		1.0	Output		PA4148					M28		[]	False	False	False	False
PA4149		1.0	Output		PA4149					M28		[]	False	False	False	False
PA4150		1.0	Output		PA4150					M28		[]	False	False	False	False
PA4153		1.0	Output		PA4153					M28		[]	False	False	False	False
PA4152		1.0	Output		PA4152					M28		[]	False	False	False	False
dnr	1.0	1.0	Middle	1.0	PA0527	882180	G3XCW6		transcriptional regulator Dnr	Global regulator	G3XCW6	['GO:0001216', 'GO:0003700', 'GO:0000976']	True	False	False	False
narK2		0.972695215802179	Output		PA3876	879781	Q9HXD4	nark1	nitrite extrusion protein 2	Basal machinery	Q9HXD4	['GO:0015112', 'GO:0015113', 'GO:0015291']	False	False	False	False
narK1		0.972695215802179	Output		PA3877	878320	G3XD60	nark2	nitrite extrusion protein 1	Basal machinery	G3XD60	['GO:0015112']	False	False	False	False
nirQ		1.0	Output		PA0520	882214	Q51481		regulatory protein NirQ	Basal machinery	Q51481	['GO:0005524', 'GO:0016887', 'GO:0003677']	False	False	False	False
narX		1.0	Output		PA3878	878321	G3XD66		two-component sensor NarX	Basal machinery	G3XD66	['GO:0005524', 'GO:0000155', 'GO:0046983']	False	False	False	False
nirS		0.8333123824245469	Output		PA0519	882217	P24474		nitrite reductase	Basal machinery	P24474	['GO:0009055', 'GO:0020037', 'GO:0050418', 'GO:0046872', 'GO:0050421']	False	False	False	False
nirE		1.0	Output		PA0510	881871	G3XD80		uroporphyrin-III C-methyltransferase	Basal machinery	G3XD80	['GO:0016829', 'GO:0008168', 'GO:0016491', 'GO:0004851']	False	False	False	False
nirG		1.0	Output		PA0513	877708	P95414		transcriptional regulator	Basal machinery	P95414	['GO:0016829']	False	False	False	False
nirF		1.0	Output		PA0516	882198	Q51480		heme d1 biosynthesis protein NirF	Basal machinery	Q51480	[]	False	False	False	False
narI		0.972695215802179	Output		PA3872	878884	G3XD18		respiratory nitrate reductase subunit gamma	Basal machinery	G3XD18	['GO:0009055', 'GO:0020037', 'GO:0046872', 'GO:0008940']	False	False	False	False
narH		0.972695215802179	Output		PA3874	879783	G3XD87		respiratory nitrate reductase subunit beta	Basal machinery	G3XD87	['GO:0051538', 'GO:0051539', 'GO:0046872', 'GO:0008940']	False	False	False	False
nirC		1.0	Output		PA0517	879462	Q51479		cytochrome C	Basal machinery	Q51479	['GO:0009055', 'GO:0020037', 'GO:0046872']	False	False	False	False
narJ		0.972695215802179	Output		PA3873	879782	G3XCY9		respiratory nitrate reductase subunit delta	Basal machinery	G3XCY9	['GO:0016530', 'GO:0051082']	False	False	False	False
nirM		1.0	Output		PA0518	882220	P00099		cytochrome C-551	Basal machinery	P00099	['GO:0009055', 'GO:0020037', 'GO:0005506']	False	False	False	False
nirL		1.0	Output		PA0514	879762	P95413		heme d1 biosynthesis protein NirL	Basal machinery	P95413	['GO:0016829']	False	False	False	False
narG		0.972695215802179	Output		PA3875	879780	G3XCX1		respiratory nitrate reductase subunit alpha	Basal machinery	G3XCX1	['GO:0051539', 'GO:0046872', 'GO:0043546', 'GO:0160182']	False	False	False	False
nirN		1.0	Output		PA0509	878428	Q9I609		cytochrome C	Basal machinery	Q9I609	['GO:0009055', 'GO:0020037', 'GO:0046872', 'GO:0016491']	False	False	False	False
nirH		1.0	Output		PA0512	877584	P95415		hypothetical protein	Basal machinery	P95415	['GO:0016829']	False	False	False	False
nirJ		1.0	Output		PA0511	879503	G3XD10		heme d1 biosynthesis protein NirJ	Basal machinery	G3XD10	['GO:0051539', 'GO:0003824', 'GO:0046872']	False	False	False	False
norB		1.0	Output		PA0524	882193	Q59647		nitric-oxide reductase subunit B	Basal machinery	Q59647	['GO:0004129', 'GO:0020037', 'GO:0046872', 'GO:0016966']	False	False	False	False
norC		1.0	Output		PA0523	882200	Q59646		nitric-oxide reductase subunit C	Basal machinery	Q59646	['GO:0009055', 'GO:0020037', 'GO:0046872']	False	False	False	False
hemN		1.0	Output		PA1546	883053	P77915		coproporphyrinogen III oxidase	Basal machinery	P77915	['GO:0051539', 'GO:0051989', 'GO:0004109', 'GO:0046872']	False	False	False	False
narL		1.0	Output		PA3879	878838	Q9HXD3		transcriptional regulator NarL	Basal machinery	Q9HXD3	['GO:0003700', 'GO:0001217', 'GO:0000976']	True	False	False	False
hemA		0.972695215802179	Output		PA4666	881361	P42807		glutamyl-tRNA reductase	Basal machinery	P42807	['GO:0008883', 'GO:0050661']	False	False	False	False
hemF		1.0	Output		PA0024	880901	P43898		coproporphyrinogen III oxidase	Basal machinery	P43898	['GO:0004109', 'GO:0046872', 'GO:0042803']	False	False	False	False
anr	1.0	1.0	Middle	1.0	PA1544	883009	P23926		transcriptional regulator Anr	Global regulator	P23926	['GO:0003677', 'GO:0003700']	True	False	False	False
aroE		1.0	Output		PA0025	879716	Q9I6P4		shikimate 5-dehydrogenase	Basal machinery	Q9I6P4	['GO:0050661', 'GO:0004764']	False	False	False	False
pmrB	1.0	1.0	Middle	1.0	PA4777	881841	Q9HV31		two-component regulator system signal sensor kinase PmrB	Basal machinery	Q9HV31	['GO:0005524', 'GO:0000155']	False	False	False	False
pmrA	1.0	1.0	Middle	1.0	PA4776	881834	Q9HV32		two-component regulator system response regulator PmrA	Global regulator	Q9HV32	['GO:0000156', 'GO:0000976']	False	False	False	True
cbrB	1.0	1.0	Middle	1.0	PA4726	881609	Q9HV73		two-component response regulator CbrB	Global regulator	Q9HV73	['GO:0005524', 'GO:0000987', 'GO:0001216', 'GO:0000976']	True	False	False	False
aotP		1.0	Output		PA0892	882247	O30506		arginine/ornithine transporter AotP	Basal machinery	O30506	['GO:0015424', 'GO:0005524', 'GO:0016887']	False	False	False	False
aotQ		1.0	Output		PA0889	882205	Q9I557		arginine/ornithine transporter AotQ	Basal machinery	Q9I557	['GO:0022857']	False	False	False	False
spuH		1.0	Output		PA0304	878265	Q9I6I7		polyamine transporter PotI	Basal machinery	Q9I6I7	['GO:0015417']	False	False	False	False
spuI		1.0	Output		PA0296	PseudoCap:PA029	Q9I6J5		glutamine synthetase	Basal machinery	Q9I6J5	['GO:0005524', 'GO:0004356']	False	False	False	False
spuF		1.0	Output		PA0302	877636	Q9I6I9		polyamine transporter PotG	Basal machinery	Q9I6I9	['GO:0015417', 'GO:0140359', 'GO:0005524', 'GO:0016887']	False	False	False	False
spuG		1.0	Output		PA0303	880687	Q9I6I8		polyamine transporter PotH	Basal machinery	Q9I6I8	['GO:0015417']	False	False	False	False
spuE		1.0	Output		PA0301	877626	Q9I6J0		polyamine transporter	Basal machinery	Q9I6J0	['GO:0019809']	False	False	False	False
spuB		1.0	Output		PA0298	880835	Q9I6J3		glutamine synthetase	Basal machinery	Q9I6J3	['GO:0005524', 'GO:0004356']	False	False	False	False
spuC		1.0	Output		PA0299	878357	Q9I6J2		aminotransferase	Basal machinery	Q9I6J2	['GO:0004015', 'GO:0030170', 'GO:0008483']	False	False	False	False
spuA		1.0	Output		PA0297	880604	Q9I6J4		glutamine amidotransferase	Basal machinery	Q9I6J4	['GO:0033969', 'GO:0046872']	False	False	False	False
csrA		0.972727410606227	Output		PA0905	878352	O69078	rsmA	carbon storage regulator	M32.1	O69078	['GO:0048027']	False	False	False	False
lip		0.9849521957999978	Output		PA2862	882662	P26876	lipA	lactonizing lipase	Basal machinery	P26876	['GO:0016298', 'GO:0046872', 'GO:0004806']	False	False	False	False
spuD		1.0	Output		PA0300	880655	Q9I6J1		polyamine transporter	Basal machinery	Q9I6J1	['GO:0019810']	False	False	False	False
aotM		1.0	Output		PA0890	880652	G3XCZ5		arginine/ornithine transporter AotM	Basal machinery	G3XCZ5	['GO:0022857']	False	False	False	False
PA4726.11		1.0	Output		PA4726.11	9793394		crcZ	CrcZ	Basal machinery		[]	False	False	False	False
hutU		1.0	Output		PA5100	880890	Q9HU83		urocanate hydratase	Basal machinery	Q9HU83	['GO:0016153']	False	False	False	False
aotJ		1.0	Output		PA0888	879210	G3XD47		arginine/ornithine binding protein AotJ	M53	G3XD47	['GO:0016597']	False	False	False	False
phoQ	1.0	1.0	Middle	1.0	PA1180	879187	Q9I4F8		two-component sensor PhoQ	M15	Q9I4F8	['GO:0005524', 'GO:0000155']	False	False	False	False
phoP	1.0	1.0	Middle	1.0	PA1179	879194	Q9I4F9		two-component response regulator PhoP	Global regulator	Q9I4F9	['GO:0000156', 'GO:0000976']	False	False	False	True
oprH		1.0	Output		PA1178	878005	G3XD11		PhoP/Q and low Mg2+ inducible outer membrane protein H1	M15	G3XD11	['GO:0001530']	False	False	False	False
PA3559		1.0	Output		PA3559					Basal machinery		[]	False	False	False	False
